word,count
contra,11981
hello,31851
saving,48998
spread,8695
goddess,7736
war,71588
mature,6037
dan,47268
password,29310
period,5342
reporter,12286
fur,9425
sometimes,10300
banner,5728
daily,160837
racing,62246
vista,8086
stumble,5848
nightmare,8399
san,51801
useless,7486
tactics,8526
modern,46280
catholic,17399
monetary,12406
artist,24072
multilingual,5012
philosopher,9681
yo,10918
bigger,6120
proudly,13126
economics,45389
venture,7728
possible,10203
monarchy,6422
salt,12405
shorts,5558
scooter,7073
northwest,7495
easter,33837
studio,30622
hysteria,5410
chilling,5368
syndrome,16454
political,156845
league,28033
witney,5117
featured,16675
football,21313
equity,15964
brave,8266
row,7351
try,44920
agree,5855
coach,8789
toward,8063
miniature,5646
keystone,8316
brother,17926
infectious,28927
soap,7660
goldsmith,5226
gossip,7307
oh,40149
unit,10620
purpose,12105
housing,64174
responsible,12664
legend,7426
sample,9855
concern,9331
hey,7013
iris,6682
liar,5425
sequitur,5147
structure,14590
madness,61122
transportation,17593
abandoned,5069
ground,26447
aurora,7968
sur,7025
green,110663
bear,89587
advertising,88491
powered,32691
lake,24588
benny,5207
dad,18556
breach,5903
rusty,9281
hanna,5881
anything,21685
derby,5391
received,8464
submit,46946
exercise,17862
box,46608
factor,13603
j,125172
masa,6379
train,28237
warner,12796
bride,6439
setting,8127
knight,13979
heat,16380
u,539168
digest,17918
solve,5985
irene,8908
horn,7289
beauty,35915
norm,5775
recognition,8230
eminent,10344
patent,33544
fee,9535
math,12891
scary,9514
ham,5927
everyone,25029
dancer,5383
contemporary,10132
aircraft,5522
junior,10245
slow,21369
humanity,10927
caption,10058
dead,48360
sovereign,7085
jay,32421
manifesto,14594
fat,23734
politics,167024
literacy,12408
creative,64164
cash,21455
travis,8559
fake,25959
highest,7909
water,53187
socialist,10486
gay,30484
singh,6261
absolutely,6341
secretary,10829
ex,12589
digital,67934
fit,14312
classic,26846
litigation,33509
enterprise,26242
travel,108776
nicky,6155
liberty,45674
girl,68900
leak,9088
boss,5583
foreign,29937
mobile,65757
malik,5318
sans,5191
gathering,8477
corner,40014
bay,35476
dos,8536
protecting,13036
exposed,8220
cop,9365
violence,31718
electronic,26004
haul,6270
dizzy,6796
underground,21351
whole,21592
army,21813
marginalia,44268
rover,9945
trading,23798
graham,27475
pony,9470
leave,29883
forgotten,7289
day,252952
absence,5411
judgment,6672
hate,23479
boat,6633
pass,12259
ivy,7485
corporate,63113
run,37765
stage,12766
doc,7874
bodily,45819
funny,29962
si,7362
chrome,10027
ligament,6100
related,10829
preparedness,52809
site,94978
visit,48239
precious,7967
greed,7367
passage,15820
pact,6929
thinker,8633
tiger,15878
cyrus,7804
stein,9554
tales,31790
cutting,13966
commentary,15337
application,24244
actual,6165
pro,29754
would,48341
agenda,16340
whittle,5340
spirit,20650
quick,22863
involvement,6095
tapper,6554
commission,39206
cardin,5333
curious,16440
slaughter,5078
diplomacy,5193
spectator,10608
selling,11225
gateway,14075
cost,81277
brief,21213
rant,12952
important,27137
old,106053
live,165050
research,104817
helping,34935
ill,6569
coyote,7262
marco,13092
consider,11653
problem,34031
apply,6838
ratio,5678
skirt,6550
cruciate,6116
wrong,36914
jeff,40966
bob,57414
plane,7344
consultation,9525
fen,8668
brazil,13582
automatic,5776
miracle,10483
orange,21793
stock,19462
method,8433
marble,7432
recipe,19018
darling,9131
conservative,36594
negative,6098
harvest,8442
gabbard,5470
pirate,7836
mud,7081
hospital,25362
silver,21376
renaissance,10479
losing,17158
plot,10114
property,45253
revenge,8924
gourmet,5142
criticism,6790
v,290945
attitude,7594
arctic,10553
check,33045
secret,50794
poison,5711
taxi,7758
pride,10227
advocacy,31756
smoking,16776
expanding,7653
pedestrian,6351
healthy,94744
speculation,5597
dick,35531
york,101121
equal,8299
prison,20408
guest,40509
cripple,6238
charity,23669
vincent,9985
concert,20562
far,26125
anti,9041
pet,104021
kitty,14532
feedback,38840
forward,18485
sponsor,5441
minute,13668
officer,13132
soccer,10479
labour,29670
sight,5041
episode,12873
ken,34059
less,22703
space,45513
maple,5501
storm,71376
zoo,15245
philosophy,26378
data,114013
seraphic,5173
hundred,5311
virgin,11303
master,26924
khan,13355
outdoors,6068
bass,7074
stopped,7151
sparks,5202
cycle,10543
dementia,8509
totally,9554
android,65490
shah,6306
seasonal,10091
treasure,14251
slime,14144
frequently,6763
raise,11472
vera,7998
bigotry,6155
promise,10953
teacher,19944
inspector,11856
thing,31587
barlow,5295
playmate,6901
definition,8538
speaking,20620
substance,5321
hockey,7376
theory,27963
leopard,7201
mood,6119
audience,5524
tape,9887
often,6132
snap,7050
finger,5074
bubble,12219
burke,9885
horror,11873
dress,15879
boxer,9980
street,77929
denial,6460
biz,5421
flash,16098
activity,15734
drew,15671
gastric,7085
vertigo,6386
caucus,6670
fighting,34119
criminal,44315
sick,11437
arbitration,8485
dirt,5912
building,36355
fiat,10141
te,7992
economy,63464
carrier,5813
drone,7356
